"ID","Name","Sex","Age","Height","Weight","Team","NOC","Games","Year","Season","City","Sport","Event","Medal"
"6","Per Knut Aaland","M",33,188,75,"United States","USA","1994 Winter",1994,"Winter","Lillehammer","Cross Country Skiing","Cross Country Skiing Men's 10/15 kilometres Pursuit",NA
"6","Per Knut Aaland","M",33,188,75,"United States","USA","1994 Winter",1994,"Winter","Lillehammer","Cross Country Skiing","Cross Country Skiing Men's 4 x 10 kilometres Relay",NA
"7","John Aalberg","M",31,183,72,"United States","USA","1992 Winter",1992,"Winter","Albertville","Cross Country Skiing","Cross Country Skiing Men's 10 kilometres",NA
"7","John Aalberg","M",31,183,72,"United States","USA","1992 Winter",1992,"Winter","Albertville","Cross Country Skiing","Cross Country Skiing Men's 50 kilometres",NA
"7","John Aalberg","M",31,183,72,"United States","USA","1992 Winter",1992,"Winter","Albertville","Cross Country Skiing","Cross Country Skiing Men's 10/15 kilometres Pursuit",NA
"7","John Aalberg","M",31,183,72,"United States","USA","1992 Winter",1992,"Winter","Albertville","Cross Country Skiing","Cross Country Skiing Men's 4 x 10 kilometres Relay",NA
"7","John Aalberg","M",33,183,72,"United States","USA","1994 Winter",1994,"Winter","Lillehammer","Cross Country Skiing","Cross Country Skiing Men's 10 kilometres",NA
"7","John Aalberg","M",33,183,72,"United States","USA","1994 Winter",1994,"Winter","Lillehammer","Cross Country Skiing","Cross Country Skiing Men's 30 kilometres",NA
"7","John Aalberg","M",33,183,72,"United States","USA","1994 Winter",1994,"Winter","Lillehammer","Cross Country Skiing","Cross Country Skiing Men's 10/15 kilometres Pursuit",NA
"7","John Aalberg","M",33,183,72,"United States","USA","1994 Winter",1994,"Winter","Lillehammer","Cross Country Skiing","Cross Country Skiing Men's 4 x 10 kilometres Relay",NA
"8","Cornelia ""Cor"" Aalten (-Strannood)","F",18,168,NA,"Netherlands","NED","1932 Summer",1932,"Summer","Los Angeles","Athletics","Athletics Women's 100 metres",NA
"8","Cornelia ""Cor"" Aalten (-Strannood)","F",18,168,NA,"Netherlands","NED","1932 Summer",1932,"Summer","Los Angeles","Athletics","Athletics Women's 4 x 100 metres Relay",NA
"9","Antti Sami Aalto","M",26,186,96,"Finland","FIN","2002 Winter",2002,"Winter","Salt Lake City","Ice Hockey","Ice Hockey Men's Ice Hockey",NA
"10","Einar Ferdinand ""Einari"" Aalto","M",26,NA,NA,"Finland","FIN","1952 Summer",1952,"Summer","Helsinki","Swimming","Swimming Men's 400 metres Freestyle",NA
"11","Jorma Ilmari Aalto","M",22,182,76.5,"Finland","FIN","1980 Winter",1980,"Winter","Lake Placid","Cross Country Skiing","Cross Country Skiing Men's 30 kilometres",NA
"12","Jyri Tapani Aalto","M",31,172,70,"Finland","FIN","2000 Summer",2000,"Summer","Sydney","Badminton","Badminton Men's Singles",NA
"13","Minna Maarit Aalto","F",30,159,55.5,"Finland","FIN","1996 Summer",1996,"Summer","Atlanta","Sailing","Sailing Women's Windsurfer",NA
"13","Minna Maarit Aalto","F",34,159,55.5,"Finland","FIN","2000 Summer",2000,"Summer","Sydney","Sailing","Sailing Women's Windsurfer",NA
"14","Pirjo Hannele Aalto (Mattila-)","F",32,171,65,"Finland","FIN","1994 Winter",1994,"Winter","Lillehammer","Biathlon","Biathlon Women's 7.5 kilometres Sprint",NA
"15","Arvo Ossian Aaltonen","M",22,NA,NA,"Finland","FIN","1912 Summer",1912,"Summer","Stockholm","Swimming","Swimming Men's 200 metres Breaststroke",NA
"15","Arvo Ossian Aaltonen","M",22,NA,NA,"Finland","FIN","1912 Summer",1912,"Summer","Stockholm","Swimming","Swimming Men's 400 metres Breaststroke",NA
"15","Arvo Ossian Aaltonen","M",30,NA,NA,"Finland","FIN","1920 Summer",1920,"Summer","Antwerpen","Swimming","Swimming Men's 200 metres Breaststroke","Bronze"
"15","Arvo Ossian Aaltonen","M",30,NA,NA,"Finland","FIN","1920 Summer",1920,"Summer","Antwerpen","Swimming","Swimming Men's 400 metres Breaststroke","Bronze"
"15","Arvo Ossian Aaltonen","M",34,NA,NA,"Finland","FIN","1924 Summer",1924,"Summer","Paris","Swimming","Swimming Men's 200 metres Breaststroke",NA
"16","Juhamatti Tapio Aaltonen","M",28,184,85,"Finland","FIN","2014 Winter",2014,"Winter","Sochi","Ice Hockey","Ice Hockey Men's Ice Hockey","Bronze"
"17","Paavo Johannes Aaltonen","M",28,175,64,"Finland","FIN","1948 Summer",1948,"Summer","London","Gymnastics","Gymnastics Men's Individual All-Around","Bronze"
"17","Paavo Johannes Aaltonen","M",28,175,64,"Finland","FIN","1948 Summer",1948,"Summer","London","Gymnastics","Gymnastics Men's Team All-Around","Gold"
"17","Paavo Johannes Aaltonen","M",28,175,64,"Finland","FIN","1948 Summer",1948,"Summer","London","Gymnastics","Gymnastics Men's Floor Exercise",NA
"17","Paavo Johannes Aaltonen","M",28,175,64,"Finland","FIN","1948 Summer",1948,"Summer","London","Gymnastics","Gymnastics Men's Horse Vault","Gold"
"17","Paavo Johannes Aaltonen","M",28,175,64,"Finland","FIN","1948 Summer",1948,"Summer","London","Gymnastics","Gymnastics Men's Parallel Bars",NA
"17","Paavo Johannes Aaltonen","M",28,175,64,"Finland","FIN","1948 Summer",1948,"Summer","London","Gymnastics","Gymnastics Men's Horizontal Bar",NA
"17","Paavo Johannes Aaltonen","M",28,175,64,"Finland","FIN","1948 Summer",1948,"Summer","London","Gymnastics","Gymnastics Men's Rings",NA
"17","Paavo Johannes Aaltonen","M",28,175,64,"Finland","FIN","1948 Summer",1948,"Summer","London","Gymnastics","Gymnastics Men's Pommelled Horse","Gold"
"17","Paavo Johannes Aaltonen","M",32,175,64,"Finland","FIN","1952 Summer",1952,"Summer","Helsinki","Gymnastics","Gymnastics Men's Individual All-Around",NA
"17","Paavo Johannes Aaltonen","M",32,175,64,"Finland","FIN","1952 Summer",1952,"Summer","Helsinki","Gymnastics","Gymnastics Men's Team All-Around","Bronze"
"17","Paavo Johannes Aaltonen","M",32,175,64,"Finland","FIN","1952 Summer",1952,"Summer","Helsinki","Gymnastics","Gymnastics Men's Floor Exercise",NA
"17","Paavo Johannes Aaltonen","M",32,175,64,"Finland","FIN","1952 Summer",1952,"Summer","Helsinki","Gymnastics","Gymnastics Men's Horse Vault",NA
"17","Paavo Johannes Aaltonen","M",32,175,64,"Finland","FIN","1952 Summer",1952,"Summer","Helsinki","Gymnastics","Gymnastics Men's Parallel Bars",NA
"17","Paavo Johannes Aaltonen","M",32,175,64,"Finland","FIN","1952 Summer",1952,"Summer","Helsinki","Gymnastics","Gymnastics Men's Horizontal Bar",NA
"17","Paavo Johannes Aaltonen","M",32,175,64,"Finland","FIN","1952 Summer",1952,"Summer","Helsinki","Gymnastics","Gymnastics Men's Rings",NA
"17","Paavo Johannes Aaltonen","M",32,175,64,"Finland","FIN","1952 Summer",1952,"Summer","Helsinki","Gymnastics","Gymnastics Men's Pommelled Horse",NA
"18","Timo Antero Aaltonen","M",31,189,130,"Finland","FIN","2000 Summer",2000,"Summer","Sydney","Athletics","Athletics Men's Shot Put",NA
"19","Win Valdemar Aaltonen","M",54,NA,NA,"Finland","FIN","1948 Summer",1948,"Summer","London","Art Competitions","Art Competitions Mixed Sculpturing, Unknown Event",NA
"20","Kjetil Andr Aamodt","M",20,176,85,"Norway","NOR","1992 Winter",1992,"Winter","Albertville","Alpine Skiing","Alpine Skiing Men's Downhill",NA
"20","Kjetil Andr Aamodt","M",20,176,85,"Norway","NOR","1992 Winter",1992,"Winter","Albertville","Alpine Skiing","Alpine Skiing Men's Super G","Gold"
"20","Kjetil Andr Aamodt","M",20,176,85,"Norway","NOR","1992 Winter",1992,"Winter","Albertville","Alpine Skiing","Alpine Skiing Men's Giant Slalom","Bronze"
"20","Kjetil Andr Aamodt","M",20,176,85,"Norway","NOR","1992 Winter",1992,"Winter","Albertville","Alpine Skiing","Alpine Skiing Men's Slalom",NA
"20","Kjetil Andr Aamodt","M",22,176,85,"Norway","NOR","1994 Winter",1994,"Winter","Lillehammer","Alpine Skiing","Alpine Skiing Men's Downhill","Silver"
"20","Kjetil Andr Aamodt","M",22,176,85,"Norway","NOR","1994 Winter",1994,"Winter","Lillehammer","Alpine Skiing","Alpine Skiing Men's Super G","Bronze"
"20","Kjetil Andr Aamodt","M",22,176,85,"Norway","NOR","1994 Winter",1994,"Winter","Lillehammer","Alpine Skiing","Alpine Skiing Men's Giant Slalom",NA
"20","Kjetil Andr Aamodt","M",22,176,85,"Norway","NOR","1994 Winter",1994,"Winter","Lillehammer","Alpine Skiing","Alpine Skiing Men's Slalom",NA
"20","Kjetil Andr Aamodt","M",22,176,85,"Norway","NOR","1994 Winter",1994,"Winter","Lillehammer","Alpine Skiing","Alpine Skiing Men's Combined","Silver"
"20","Kjetil Andr Aamodt","M",26,176,85,"Norway","NOR","1998 Winter",1998,"Winter","Nagano","Alpine Skiing","Alpine Skiing Men's Downhill",NA
"20","Kjetil Andr Aamodt","M",26,176,85,"Norway","NOR","1998 Winter",1998,"Winter","Nagano","Alpine Skiing","Alpine Skiing Men's Super G",NA
"20","Kjetil Andr Aamodt","M",26,176,85,"Norway","NOR","1998 Winter",1998,"Winter","Nagano","Alpine Skiing","Alpine Skiing Men's Giant Slalom",NA
"20","Kjetil Andr Aamodt","M",26,176,85,"Norway","NOR","1998 Winter",1998,"Winter","Nagano","Alpine Skiing","Alpine Skiing Men's Combined",NA
"20","Kjetil Andr Aamodt","M",30,176,85,"Norway","NOR","2002 Winter",2002,"Winter","Salt Lake City","Alpine Skiing","Alpine Skiing Men's Downhill",NA
"20","Kjetil Andr Aamodt","M",30,176,85,"Norway","NOR","2002 Winter",2002,"Winter","Salt Lake City","Alpine Skiing","Alpine Skiing Men's Super G","Gold"
"20","Kjetil Andr Aamodt","M",30,176,85,"Norway","NOR","2002 Winter",2002,"Winter","Salt Lake City","Alpine Skiing","Alpine Skiing Men's Giant Slalom",NA
"20","Kjetil Andr Aamodt","M",30,176,85,"Norway","NOR","2002 Winter",2002,"Winter","Salt Lake City","Alpine Skiing","Alpine Skiing Men's Slalom",NA
"20","Kjetil Andr Aamodt","M",30,176,85,"Norway","NOR","2002 Winter",2002,"Winter","Salt Lake City","Alpine Skiing","Alpine Skiing Men's Combined","Gold"
"20","Kjetil Andr Aamodt","M",34,176,85,"Norway","NOR","2006 Winter",2006,"Winter","Torino","Alpine Skiing","Alpine Skiing Men's Downhill",NA
"20","Kjetil Andr Aamodt","M",34,176,85,"Norway","NOR","2006 Winter",2006,"Winter","Torino","Alpine Skiing","Alpine Skiing Men's Super G","Gold"
"21","Ragnhild Margrethe Aamodt","F",27,163,NA,"Norway","NOR","2008 Summer",2008,"Summer","Beijing","Handball","Handball Women's Handball","Gold"
"22","Andreea Aanei","F",22,170,125,"Romania","ROU","2016 Summer",2016,"Summer","Rio de Janeiro","Weightlifting","Weightlifting Women's Super-Heavyweight",NA
"23","Fritz Aanes","M",22,187,89,"Norway","NOR","2000 Summer",2000,"Summer","Sydney","Wrestling","Wrestling Men's Light-Heavyweight, Greco-Roman",NA
"23","Fritz Aanes","M",26,187,89,"Norway","NOR","2004 Summer",2004,"Summer","Athina","Wrestling","Wrestling Men's Light-Heavyweight, Greco-Roman",NA
"24","Nils Egil Aaness","M",24,NA,NA,"Norway","NOR","1960 Winter",1960,"Winter","Squaw Valley","Speed Skating","Speed Skating Men's 500 metres",NA
"24","Nils Egil Aaness","M",24,NA,NA,"Norway","NOR","1960 Winter",1960,"Winter","Squaw Valley","Speed Skating","Speed Skating Men's 1,500 metres",NA
"24","Nils Egil Aaness","M",27,NA,NA,"Norway","NOR","1964 Winter",1964,"Winter","Innsbruck","Speed Skating","Speed Skating Men's 1,500 metres",NA
"25","Alf Lied Aanning","M",24,NA,NA,"Norway","NOR","1920 Summer",1920,"Summer","Antwerpen","Gymnastics","Gymnastics Men's Team All-Around, Free System","Silver"
"26","Agnes Erika Aanonsen (-Eyde)","F",17,169,65,"Norway","NOR","1984 Winter",1984,"Winter","Sarajevo","Luge","Luge Women's Singles",NA
"27","Johan Aantjes","M",26,NA,NA,"Netherlands","NED","1984 Summer",1984,"Summer","Los Angeles","Water Polo","Water Polo Men's Water Polo",NA
"28","Jan-Erik Aarberg","M",43,170,77,"Norway","NOR","1968 Summer",1968,"Summer","Mexico City","Sailing","Sailing Mixed Three Person Keelboat",NA
"28","Jan-Erik Aarberg","M",47,170,77,"Norway","NOR","1972 Summer",1972,"Summer","Munich","Sailing","Sailing Mixed Three Person Keelboat",NA
"29","Willemien Aardenburg","F",22,NA,NA,"Netherlands","NED","1988 Summer",1988,"Summer","Seoul","Hockey","Hockey Women's Hockey","Bronze"
"30","Pepijn Aardewijn","M",26,189,72,"Netherlands","NED","1996 Summer",1996,"Summer","Atlanta","Rowing","Rowing Men's Lightweight Double Sculls","Silver"
"30","Pepijn Aardewijn","M",30,189,72,"Netherlands","NED","2000 Summer",2000,"Summer","Sydney","Rowing","Rowing Men's Lightweight Double Sculls",NA
"31","Evald rma (rman-)","M",24,174,70,"Estonia","EST","1936 Summer",1936,"Summer","Berlin","Athletics","Athletics Men's Pole Vault",NA
"32","Olav Augunson Aarnes","M",23,NA,NA,"Norway","NOR","1912 Summer",1912,"Summer","Stockholm","Athletics","Athletics Men's High Jump",NA
"33","Mika Lauri Aarnikka","M",24,187,76,"Finland","FIN","1992 Summer",1992,"Summer","Barcelona","Sailing","Sailing Men's Two Person Dinghy",NA
"33","Mika Lauri Aarnikka","M",28,187,76,"Finland","FIN","1996 Summer",1996,"Summer","Atlanta","Sailing","Sailing Men's Two Person Dinghy",NA
"34","Jamale (Djamel-) Aarrass (Ahrass-)","M",30,187,76,"France","FRA","2012 Summer",2012,"Summer","London","Athletics","Athletics Men's 1,500 metres",NA
"35","Dagfinn Sverre Aarskog","M",24,190,98,"Norway","NOR","1998 Winter",1998,"Winter","Nagano","Bobsleigh","Bobsleigh Men's Four",NA
"36","Stefan Remco Aartsen","M",21,194,78,"Netherlands","NED","1996 Summer",1996,"Summer","Atlanta","Swimming","Swimming Men's 100 metres Butterfly",NA
"36","Stefan Remco Aartsen","M",21,194,78,"Netherlands","NED","1996 Summer",1996,"Summer","Atlanta","Swimming","Swimming Men's 200 metres Butterfly",NA
"36","Stefan Remco Aartsen","M",21,194,78,"Netherlands","NED","1996 Summer",1996,"Summer","Atlanta","Swimming","Swimming Men's 4 x 100 metres Medley Relay",NA
"36","Stefan Remco Aartsen","M",25,194,78,"Netherlands","NED","2000 Summer",2000,"Summer","Sydney","Swimming","Swimming Men's 100 metres Butterfly",NA
"36","Stefan Remco Aartsen","M",25,194,78,"Netherlands","NED","2000 Summer",2000,"Summer","Sydney","Swimming","Swimming Men's 200 metres Butterfly",NA
"37","Ann Kristin Aarnes","F",23,182,64,"Norway","NOR","1996 Summer",1996,"Summer","Atlanta","Football","Football Women's Football","Bronze"
"38","Karl Jan Aas","M",20,NA,NA,"Norway","NOR","1920 Summer",1920,"Summer","Antwerpen","Gymnastics","Gymnastics Men's Team All-Around, Free System","Silver"
"39","Lars Thorlaksn Aas","M",33,NA,NA,"Norway","NOR","1912 Summer",1912,"Summer","Stockholm","Fencing","Fencing Men's Foil, Individual",NA
"39","Lars Thorlaksn Aas","M",33,NA,NA,"Norway","NOR","1912 Summer",1912,"Summer","Stockholm","Fencing","Fencing Men's epee, Individual",NA
"39","Lars Thorlaksn Aas","M",33,NA,NA,"Norway","NOR","1912 Summer",1912,"Summer","Stockholm","Fencing","Fencing Men's epee, Team",NA
"40","Roald Edgar Aas","M",23,NA,NA,"Norway","NOR","1952 Winter",1952,"Winter","Oslo","Speed Skating","Speed Skating Men's 1,500 metres","Bronze"
"40","Roald Edgar Aas","M",27,NA,NA,"Norway","NOR","1956 Winter",1956,"Winter","Cortina d'Ampezzo","Speed Skating","Speed Skating Men's 1,500 metres",NA
"40","Roald Edgar Aas","M",27,NA,NA,"Norway","NOR","1956 Winter",1956,"Winter","Cortina d'Ampezzo","Speed Skating","Speed Skating Men's 5,000 metres",NA
"40","Roald Edgar Aas","M",31,NA,NA,"Norway","NOR","1960 Winter",1960,"Winter","Squaw Valley","Speed Skating","Speed Skating Men's 1,500 metres","Gold"
"40","Roald Edgar Aas","M",31,NA,NA,"Norway","NOR","1960 Winter",1960,"Winter","Squaw Valley","Speed Skating","Speed Skating Men's 5,000 metres",NA
"40","Roald Edgar Aas","M",31,NA,NA,"Norway","NOR","1960 Winter",1960,"Winter","Squaw Valley","Speed Skating","Speed Skating Men's 10,000 metres",NA
"41","Rolf Aas","M",28,NA,NA,"Norway","NOR","1920 Summer",1920,"Summer","Antwerpen","Football","Football Men's Football",NA
"42","Thomas Valentin Aas","M",25,NA,NA,"Taifun","NOR","1912 Summer",1912,"Summer","Stockholm","Sailing","Sailing Mixed 8 metres","Gold"
"43","Morten Gjerdrum Aasen","M",34,185,75,"Norway","NOR","1992 Summer",1992,"Summer","Barcelona","Equestrianism","Equestrianism Mixed Jumping, Individual",NA
"44","Meelis Aasme","M",25,182,73,"Estonia","EST","1998 Winter",1998,"Winter","Nagano","Cross Country Skiing","Cross Country Skiing Men's 30 kilometres",NA
"44","Meelis Aasme","M",25,182,73,"Estonia","EST","1998 Winter",1998,"Winter","Nagano","Cross Country Skiing","Cross Country Skiing Men's 50 kilometres",NA
"44","Meelis Aasme","M",29,182,73,"Estonia","EST","2002 Winter",2002,"Winter","Salt Lake City","Cross Country Skiing","Cross Country Skiing Men's 15 kilometres",NA
"44","Meelis Aasme","M",29,182,73,"Estonia","EST","2002 Winter",2002,"Winter","Salt Lake City","Cross Country Skiing","Cross Country Skiing Men's 50 kilometres",NA
"44","Meelis Aasme","M",29,182,73,"Estonia","EST","2002 Winter",2002,"Winter","Salt Lake City","Cross Country Skiing","Cross Country Skiing Men's 4 x 10 kilometres Relay",NA
"45","Hakon Aasns","M",41,NA,NA,"Norway","NOR","1936 Summer",1936,"Summer","Berlin","Shooting","Shooting Men's Small-Bore Rifle, Prone, 50 metres",NA
"46","Hans Aasns","M",33,194,93,"Norway","NOR","1936 Summer",1936,"Summer","Berlin","Shooting","Shooting Men's Rapid-Fire Pistol, 25 metres",NA
"46","Hans Aasns","M",45,194,93,"Norway","NOR","1948 Summer",1948,"Summer","London","Shooting","Shooting Men's Rapid-Fire Pistol, 25 metres",NA
"46","Hans Aasns","M",49,194,93,"Norway","NOR","1952 Summer",1952,"Summer","Helsinki","Shooting","Shooting Men's Trap",NA
"46","Hans Aasns","M",53,194,93,"Norway","NOR","1956 Summer",1956,"Summer","Melbourne","Shooting","Shooting Men's Trap",NA
"46","Hans Aasns","M",57,194,93,"Norway","NOR","1960 Summer",1960,"Summer","Roma","Shooting","Shooting Men's Trap",NA
"47","Erling Rudolf Aastad","M",22,177,74,"Norway","NOR","1920 Summer",1920,"Summer","Antwerpen","Athletics","Athletics Men's 4 x 100 metres Relay",NA
"47","Erling Rudolf Aastad","M",22,177,74,"Norway","NOR","1920 Summer",1920,"Summer","Antwerpen","Athletics","Athletics Men's Long Jump",NA
"47","Erling Rudolf Aastad","M",26,177,74,"Norway","NOR","1924 Summer",1924,"Summer","Paris","Athletics","Athletics Men's Long Jump",NA
"47","Erling Rudolf Aastad","M",30,177,74,"Norway","NOR","1928 Summer",1928,"Summer","Amsterdam","Athletics","Athletics Men's Long Jump",NA
"48","Abdelhak Aatakni","M",24,NA,64,"Morocco","MAR","2012 Summer",2012,"Summer","London","Boxing","Boxing Men's Light-Welterweight",NA
"49","Moonika Aava","F",24,168,65,"Estonia","EST","2004 Summer",2004,"Summer","Athina","Athletics","Athletics Women's Javelin Throw",NA
"49","Moonika Aava","F",28,168,65,"Estonia","EST","2008 Summer",2008,"Summer","Beijing","Athletics","Athletics Women's Javelin Throw",NA
"50","Arvi Aavik","M",22,185,106,"Estonia","EST","1992 Summer",1992,"Summer","Barcelona","Wrestling","Wrestling Men's Heavyweight, Freestyle",NA
"50","Arvi Aavik","M",26,185,106,"Estonia","EST","1996 Summer",1996,"Summer","Atlanta","Wrestling","Wrestling Men's Heavyweight, Freestyle",NA
"51","Nstor Abad Sanjun","M",23,167,64,"Spain","ESP","2016 Summer",2016,"Summer","Rio de Janeiro","Gymnastics","Gymnastics Men's Individual All-Around",NA
"51","Nstor Abad Sanjun","M",23,167,64,"Spain","ESP","2016 Summer",2016,"Summer","Rio de Janeiro","Gymnastics","Gymnastics Men's Floor Exercise",NA
"51","Nstor Abad Sanjun","M",23,167,64,"Spain","ESP","2016 Summer",2016,"Summer","Rio de Janeiro","Gymnastics","Gymnastics Men's Parallel Bars",NA
"51","Nstor Abad Sanjun","M",23,167,64,"Spain","ESP","2016 Summer",2016,"Summer","Rio de Janeiro","Gymnastics","Gymnastics Men's Horizontal Bar",NA
"51","Nstor Abad Sanjun","M",23,167,64,"Spain","ESP","2016 Summer",2016,"Summer","Rio de Janeiro","Gymnastics","Gymnastics Men's Rings",NA
"51","Nstor Abad Sanjun","M",23,167,64,"Spain","ESP","2016 Summer",2016,"Summer","Rio de Janeiro","Gymnastics","Gymnastics Men's Pommelled Horse",NA
"52","Patrick Abada","M",22,189,80,"France","FRA","1976 Summer",1976,"Summer","Montreal","Athletics","Athletics Men's Pole Vault",NA
"53","Talaat Abada","M",24,172,58,"Egypt","EGY","2000 Summer",2000,"Summer","Sydney","Taekwondo","Taekwondo Men's Flyweight",NA
"54","Mohamed Jamshid Abadi","M",NA,NA,NA,"Iran","IRI","1948 Summer",1948,"Summer","London","Boxing","Boxing Men's Heavyweight",NA
"55","Antonio Abadia Beci","M",26,170,65,"Spain","ESP","2016 Summer",2016,"Summer","Rio de Janeiro","Athletics","Athletics Men's 5,000 metres",NA
"56","Ren Abadie","M",21,NA,NA,"France","FRA","1956 Summer",1956,"Summer","Melbourne","Cycling","Cycling Men's Road Race, Individual",NA
"56","Ren Abadie","M",21,NA,NA,"France","FRA","1956 Summer",1956,"Summer","Melbourne","Cycling","Cycling Men's Road Race, Team","Gold"
"57","Borislav Abadzhiev","M",24,176,66,"Bulgaria","BUL","1988 Summer",1988,"Summer","Seoul","Boxing","Boxing Men's Light-Welterweight",NA
"58","Georgi Abadzhiev","M",NA,NA,NA,"Bulgaria","BUL","1924 Summer",1924,"Summer","Paris","Cycling","Cycling Men's Road Race, Individual",NA
"58","Georgi Abadzhiev","M",NA,NA,NA,"Bulgaria","BUL","1924 Summer",1924,"Summer","Paris","Cycling","Cycling Men's Road Race, Team",NA
"59","Ivan Nikolov Abadzhiev","M",24,164,71,"Bulgaria","BUL","1956 Summer",1956,"Summer","Melbourne","Weightlifting","Weightlifting Men's Lightweight",NA
"59","Ivan Nikolov Abadzhiev","M",28,164,71,"Bulgaria","BUL","1960 Summer",1960,"Summer","Roma","Weightlifting","Weightlifting Men's Middleweight",NA
"60","Mikhail Abadzhiev","M",24,172,75,"Bulgaria","BUL","1960 Summer",1960,"Summer","Roma","Weightlifting","Weightlifting Men's Middleweight",NA
"61","Stefan Abadzhiev","M",26,175,72,"Bulgaria","BUL","1960 Summer",1960,"Summer","Roma","Football","Football Men's Football",NA
"62","Giovanni Abagnale","M",21,198,90,"Italy","ITA","2016 Summer",2016,"Summer","Rio de Janeiro","Rowing","Rowing Men's Coxless Pairs","Bronze"
"63","Jos Luis Abajo Gmez","M",30,194,87,"Spain","ESP","2008 Summer",2008,"Summer","Beijing","Fencing","Fencing Men's epee, Individual","Bronze"
"64","M'Bairo Abakar","M",31,NA,NA,"Chad","CHA","1992 Summer",1992,"Summer","Barcelona","Judo","Judo Men's Half-Middleweight",NA
"65","Patimat Abakarova","F",21,165,49,"Azerbaijan","AZE","2016 Summer",2016,"Summer","Rio de Janeiro","Taekwondo","Taekwondo Women's Flyweight","Bronze"
"66","Mohamed Abakkar","M",NA,156,48,"Sudan","SUD","1972 Summer",1972,"Summer","Munich","Boxing","Boxing Men's Flyweight",NA
"67","Mariya Vasilyevna Abakumova (-Tarabina)","F",22,179,80,"Russia","RUS","2008 Summer",2008,"Summer","Beijing","Athletics","Athletics Women's Javelin Throw","Silver"
"67","Mariya Vasilyevna Abakumova (-Tarabina)","F",26,179,80,"Russia","RUS","2012 Summer",2012,"Summer","London","Athletics","Athletics Women's Javelin Throw",NA
"68","Pablo Martn Abal","M",23,178,76,"Argentina","ARG","2000 Summer",2000,"Summer","Sydney","Swimming","Swimming Men's 100 metres Butterfly",NA
"68","Pablo Martn Abal","M",23,178,76,"Argentina","ARG","2000 Summer",2000,"Summer","Sydney","Swimming","Swimming Men's 4 x 100 metres Medley Relay",NA
"69","Tamara Abalde Daz","F",19,185,72,"Spain","ESP","2008 Summer",2008,"Summer","Beijing","Basketball","Basketball Women's Basketball",NA
"70","Jess Iory Aball Martnez","M",26,167,65,"Cuba","CUB","2000 Summer",2000,"Summer","Sydney","Diving","Diving Men's Platform",NA
"71","Juan Antonio Aball Delgado","M",27,172,82,"Cuba","CUB","1992 Summer",1992,"Summer","Barcelona","Canoeing","Canoeing Men's Canadian Doubles, 500 metres",NA
